	GSM1525024		GSM1525025		GSM1525026		GSM1525027		GSM1525028		GSM1525029		GSM1525030		GSM1525031		
ID_REF 	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	
ILMN_1235939	79.00819	0.02005013	78.56454	0.02130326	73.39473	0.04260652	78.94871	0.0112782	165.9638	0.003759399	163.7089	0.0112782	290.7447	0.02756892	229.6932	0.01378446	
ILMN_2621882	3269.039	0	3183.25	0	2483.762	0	2781.016	0	5020.465	0	5446.414	0	7065.406	0	4645.775	0	
ILMN_2850839	1568.566	0	1698.799	0	1394.855	0	1548.143	0	3426.813	0	3657.675	0	4634.497	0	3529.42	0	
ILMN_2659694	46.27769	0.5288221	49.16928	0.3007519	59.52678	0.1879699	46.83357	0.566416	65.21783	0.3646617	72.21175	0.3308271	116.6155	0.320802	148.0071	0.2694235	
ILMN_2651743	45.45526	0.5764411	45.68089	0.4949875	49.89339	0.566416	45.4882	0.7067669	71.26466	0.2869674	66.57835	0.4310777	114.4422	0.3270677	116.5102	0.5889724	
ILMN_2688894	44.75726	0.6203008	47.94534	0.3671679	57.10053	0.2531328	47.13581	0.5426065	56.40965	0.6478696	61.9217	0.5789474	70.56844	0.7694235	120.3271	0.5300752	
ILMN_1256578	40.20229	0.9035088	45.80346	0.4837093	53.94736	0.3546366	50.38264	0.3220551	108.6211	0.05639098	109.5	0.09022556	141.6258	0.2418546	225.5281	0.01378446	
ILMN_2789047	588.7676	0	359.4334	0	470.9725	0	318.0819	0	742.4669	0	598.0597	0	985.764	0	623.5419	0	
ILMN_2645490	42.9131	0.7681704	41.89939	0.7543859	45.2692	0.8571429	41.07489	0.9411027	51.12638	0.8759398	56.01527	0.8245614	63.8412	0.8759398	97.8157	0.8421053	
ILMN_2958076	459.3356	0	431.2018	0	506.5977	0	436.8182	0	865.1412	0	829.6292	0	1250.694	0	847.7518	0	
ILMN_2634338	708.0623	0	702.884	0	860.4594	0	906.7347	0	1609.733	0	1613.729	0	2640.084	0	1796.092	0	
ILMN_1250757	50.96819	0.2932331	41.34341	0.7907268	46.29709	0.79198	44.96597	0.7406015	56.12614	0.6616541	66.28085	0.4398496	67.82248	0.8120301	91.83349	0.9072682	
ILMN_2641700	43.26207	0.7393484	43.29617	0.641604	44.66256	0.8884712	49.8845	0.3483709	61.04155	0.4711779	72.55753	0.3283208	99.13104	0.4160401	135.5207	0.3634085	
ILMN_2938179	443.2017	0	359.9058	0	335.406	0	344.3211	0	625.2797	0	684.953	0	1002.268	0	651.6613	0	
ILMN_1225158	3466.954	0	3287.083	0	3051.457	0	3263.041	0	6966.961	0	7556.365	0	9401.467	0	7124.356	0	
ILMN_1257567	69.65929	0.04135338	70.16917	0.04135338	70.38132	0.05889724	64.23424	0.07769424	83.97823	0.1879699	106.8936	0.10401	122.5701	0.2957394	143.041	0.2994987	
ILMN_1242099	50.85833	0.2969925	49.67606	0.2869674	55.48709	0.2982456	51.08085	0.2857143	156.6144	0.007518797	138.2068	0.03258145	170.2381	0.1679198	183.8492	0.1027569	
ILMN_1244997	49.63474	0.339599	41.94181	0.7543859	49.97095	0.5588973	48.48602	0.4348371	74.92945	0.2531328	79.30664	0.264411	112.4595	0.3408521	151.3789	0.2493734	
ILMN_2804251	53.14187	0.2218045	49.98637	0.2781955	49.87265	0.566416	60.97238	0.0952381	159.7584	0.006265664	147.0623	0.01879699	254.81	0.04761905	187.9523	0.08897243	
ILMN_2868927	96.67043	0.005012531	85.38148	0.0112782	80.61732	0.02506266	77.95802	0.01253133	137.7528	0.01629073	139.9731	0.03007519	288.771	0.02756892	199.2197	0.05764411	
ILMN_2646872	38.41691	0.9686717	44.26796	0.575188	46.94424	0.7493734	40.5503	0.9536341	59.32418	0.5288221	58.19539	0.7130326	97.55753	0.424812	125.0475	0.4611529	
ILMN_2660082	244.7042	0	234.2024	0	232.7527	0	210.4932	0	363.7647	0	449.3904	0	682.5219	0	412.1728	0	
ILMN_1258421	1256.238	0	938.645	0	874.8375	0	865.4629	0	1524.665	0	1623.972	0	2191.13	0	1584.809	0	
ILMN_2693905	69.22614	0.04260652	68.93562	0.04636591	78.35828	0.02631579	63.37709	0.08270676	88.33163	0.1566416	108.2553	0.09273183	158.4682	0.1929825	160.5062	0.1992481	
ILMN_2595530	44.49247	0.641604	52.40461	0.2117794	53.7832	0.3646617	44.29497	0.79198	82.99333	0.1917293	94.80477	0.1741855	133.8905	0.273183	168.6414	0.1553885	
ILMN_2471650	46.15984	0.537594	44.03677	0.593985	55.98729	0.2781955	41.09071	0.9398496	56.95441	0.6253133	62.21838	0.5651629	114.4554	0.3258145	132.9788	0.3859649	
ILMN_2621472	2463.083	0	2158.197	0	2062.657	0	1877.825	0	3792.856	0	3311.195	0	4714.256	0	3190.454	0	
ILMN_2621471	1186.789	0	1040.25	0	941.1931	0	925.4623	0	2143.527	0	1805.229	0	2563.964	0	1701.064	0	
ILMN_2622829	979.3042	0	815.8087	0	736.7839	0	785.9081	0	1497.044	0	1544.449	0	2035.865	0	1255.993	0	
ILMN_2745954	538.1606	0	426.3963	0	358.0843	0	391.334	0	961.2997	0	712.9401	0	818.0583	0	681.7719	0	
ILMN_2734060	898.1168	0	714.7261	0	647.1758	0	677.9167	0	1504.506	0	1106.195	0	1262.904	0	936.7305	0	
ILMN_2919489	556.1866	0	497.5445	0	372.7373	0	398.1511	0	1297.517	0	1145.709	0	1530.023	0	1164.748	0	
ILMN_2803878	91.95059	0.005012531	92.91825	0.005012531	88.36258	0.01002506	87.03551	0.005012531	121.0403	0.03508772	142.7189	0.02631579	201.4685	0.1152882	179.1299	0.1177945	
ILMN_2646001	127.5808	0	113.1477	0	135.1106	0	123.1726	0	288.1405	0	304.7758	0	641.8261	0	358.6462	0	
ILMN_2642876	53.75597	0.2067669	48.47094	0.3320802	56.13021	0.2756892	58.22937	0.1390978	85.29279	0.1704261	81.08475	0.2581454	108.0625	0.3571429	137.4709	0.3471178	
ILMN_1225594	1848.701	0	2965.549	0	1848.754	0	2953.581	0	2711.106	0	5547.715	0	7917.98	0	6258.472	0	
ILMN_1221251	867.6562	0	685.4577	0	624.0667	0	606.1958	0	1579.95	0	1652.831	0	2266.774	0	1569.427	0	
ILMN_1257630	128.8513	0	117.5798	0	101.8801	0.003759399	98.86418	0.001253133	179.2883	0	201.6289	0.006265664	328.5283	0.01253133	244.3868	0.00877193	
ILMN_3144761	335.7818	0	317.101	0	305.9147	0	314.0086	0	718.0264	0	790.2575	0	1152.47	0	787.0592	0	
ILMN_2604806	158.2285	0	143.9909	0	134.9005	0	162.7271	0	245.7675	0	332.7486	0	414.3373	0.003759399	393.5884	0	
ILMN_1217406	253.0647	0	270.8516	0	214.2486	0	241.7009	0	537.5394	0	968.8473	0	1075.449	0	838.2289	0	
ILMN_2617920	53.18957	0.2218045	47.4071	0.3909774	52.79317	0.4072682	55.50139	0.1829574	71.64861	0.2807018	88.20963	0.2055138	104.7877	0.3734336	122.1602	0.4924812	
