	GSM1525024		GSM1525025		GSM1525026		GSM1525027		GSM1525028		GSM1525029		GSM1525030		GSM1525031		
ID_REF 	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	
ILMN_2753623	60.50108	0.1065163	65.70297	0.06390978	57.18372	0.2518797	59.26638	0.1253133	83.51433	0.1917293	84.29156	0.2343358	173.2663	0.160401	145.6449	0.2807018	
ILMN_2633996	84.09956	0.0112782	81.74998	0.01503759	76.50047	0.03132832	75.85252	0.01879699	166.6597	0.002506266	162.4161	0.0112782	256.6328	0.04636591	216.8643	0.02506266	
ILMN_2972748	172.5735	0	169.6025	0	135.6187	0	173.3153	0	489.7024	0	533.4529	0	734.9943	0	536.0313	0	
ILMN_2686924	56.17175	0.1691729	52.52929	0.20802	53.54874	0.3696742	50.23491	0.3295739	86.49103	0.1654135	80.51454	0.2606516	88.22936	0.5025063	127.4505	0.4335839	
ILMN_2749705	65.84054	0.05764411	59.72906	0.1165414	58.33751	0.2180451	62.71753	0.0877193	142.8073	0.01503759	144.6561	0.02255639	210.4215	0.0952381	194.3024	0.06766918	
ILMN_2675125	46.59755	0.5075188	42.75674	0.6892231	55.08033	0.3070175	49.37767	0.3784461	56.32232	0.650376	58.73282	0.6829574	62.77733	0.8972431	102.4189	0.7706767	
ILMN_2688653	89.92718	0.006265664	82.90887	0.01253133	72.61227	0.04761905	70.28075	0.04010025	174.4461	0.002506266	185.0535	0.006265664	321.5066	0.01503759	275.4314	0.003759399	
ILMN_2831656	988.9923	0	662.1682	0	622.7047	0	526.5795	0	535.3613	0	484.7906	0	409.2451	0.003759399	330.4966	0.001253133	
ILMN_2629805	175.7896	0	121.4768	0	126.0644	0	107.7361	0	116.9014	0.04010025	116.3145	0.07142857	176.2552	0.1553885	155.3741	0.2280702	
ILMN_2629804	248.1103	0	185.661	0	182.0869	0	154.4283	0	193.2977	0	238.9987	0	255.4318	0.04761905	263.6296	0.006265664	
ILMN_2724014	72.6284	0.03634085	72.97927	0.03634085	74.6918	0.03884712	78.58752	0.0112782	182.4447	0	176.1742	0.01002506	349.0281	0.01002506	225.2468	0.01378446	
ILMN_2599385	50.10231	0.3195489	37.39826	0.9761904	47.37199	0.7243108	42.94834	0.8621554	56.03738	0.6654136	58.53659	0.6892231	84.52835	0.5451128	101.3113	0.7982456	
ILMN_1237726	76.17492	0.03132832	74.68269	0.02882206	80.50277	0.02506266	70.63387	0.03884712	90.26289	0.1441103	149.1233	0.01879699	191.5212	0.1253133	196.7647	0.06015038	
ILMN_1228560	110.5797	0	103.0611	0.001253133	101.983	0.003759399	105.3786	0	106.7876	0.06140351	105.1843	0.1140351	142.0125	0.235589	148.8219	0.2606516	
ILMN_2826671	145.5345	0	130.8228	0	182.9445	0	143.709	0	341.6965	0	456.5504	0	670.6606	0	368.0877	0	
ILMN_2826669	94.01241	0.005012531	82.43857	0.01378446	91.36842	0.01002506	78.87047	0.0112782	104.6514	0.0689223	108.6476	0.09273183	154.7687	0.2042606	186.1736	0.0952381	
ILMN_2895412	67.86676	0.04887218	59.85826	0.1165414	66.03661	0.0914787	64.75385	0.07142857	104.3815	0.0689223	117.9695	0.0651629	255.5631	0.04761905	195.7111	0.06390978	
ILMN_2672903	41.51278	0.8558897	40.36994	0.8521304	46.24855	0.7944862	44.31252	0.7894737	66.41798	0.3446115	55.29102	0.8471178	80.39292	0.6027569	136.2212	0.358396	
ILMN_2622255	990.7502	0	997.8998	0	1083.449	0	1060.52	0	1307.297	0	1614.057	0	2422.463	0	1589.216	0	
ILMN_1213216	91.46725	0.006265664	75.78432	0.02631579	82.9865	0.02130326	69.51709	0.04385965	115.5943	0.04135338	129.8353	0.04636591	139.9918	0.2518797	157.7785	0.2142857	
ILMN_2973206	144.4035	0	141.2963	0	135.3427	0	143.7843	0	296.5644	0	359.3578	0	657.6052	0	426.18	0	
ILMN_2870074	72.02806	0.03634085	58.14228	0.1303258	67.47029	0.08145364	58.16587	0.1403509	105.362	0.0689223	126.1231	0.05388471	216.1873	0.08897243	174.6452	0.1303258	
ILMN_2664224	5134.737	0	4828.772	0	4333.777	0	4559.606	0	7815.279	0	9726.672	0	12189.44	0	9650.431	0	
ILMN_1226688	99.60187	0.002506266	87.2287	0.007518797	114.5965	0.002506266	114.0642	0	342.4995	0	444.4783	0	742.9908	0	459.6232	0	
ILMN_2920454	47.35508	0.4598998	47.58393	0.3847118	55.86428	0.2819549	51.64777	0.2694235	76.36517	0.2406015	76.07778	0.2944862	113.5182	0.3345865	188.2935	0.0877193	
ILMN_1256740	123.0226	0	150.1993	0	131.3548	0	123.448	0	285.5745	0	394.4101	0	372.2401	0.005012531	371.7017	0	
ILMN_2699995	133.3349	0	132.4072	0	142.2129	0	120.8117	0	447.9797	0	583.087	0	912.8624	0	540.1078	0	
ILMN_2895177	786.3738	0	744.3093	0	640.7286	0	651.6679	0	1762.541	0	2076.612	0	2690.171	0	1886.006	0	
ILMN_1250501	54.02667	0.1992481	49.9583	0.2794486	53.02687	0.3909774	53.70778	0.2230576	85.97003	0.1679198	72.32943	0.3295739	155.1572	0.1992481	136.8564	0.3508772	
ILMN_1239027	64.26919	0.07142857	76.64116	0.02380952	70.01687	0.06265664	71.71545	0.03383459	231.2268	0	413.9897	0	421.4513	0.003759399	384.1212	0	
ILMN_2659617	571.7891	0	776.5956	0	645.5598	0	741.1581	0	1863.351	0	3367.144	0	4851.446	0	2848.956	0	
ILMN_3158060	73.89616	0.03634085	64.51757	0.07017544	71.84964	0.05137845	81.44924	0.00877193	121.5927	0.03508772	130.0443	0.04636591	187.6991	0.1328321	187.8207	0.09022556	
ILMN_1244006	468.1596	0	609.2316	0	482.045	0	560.3319	0	1256.271	0	2305.793	0	3564.308	0	2199.556	0	
ILMN_1218487	116.1219	0	104.3019	0.001253133	89.41954	0.01002506	118.6217	0	297.0646	0	338.0468	0	378.7144	0.005012531	361.0987	0	
ILMN_1239908	48.39397	0.3984962	49.05255	0.302005	52.78035	0.4085213	47.66733	0.4987469	59.66803	0.518797	67.80547	0.406015	78.55125	0.6315789	96.61955	0.8508772	
ILMN_2742822	52.84087	0.2280702	43.00871	0.6666667	43.5202	0.9310777	50.55444	0.3145363	81.83178	0.1942356	80.37054	0.2619048	155.3054	0.1992481	169.3792	0.1503759	
ILMN_2749650	68.48136	0.04761905	66.68838	0.05513784	80.25145	0.02506266	70.73769	0.03884712	79.72099	0.2067669	108.4081	0.09273183	153.2087	0.2067669	151.0949	0.2493734	
ILMN_3148398	280.5051	0	236.6305	0	201.9198	0	199.457	0	265.5627	0	334.7164	0	286.7074	0.02882206	318.0323	0.002506266	
ILMN_3069857	1525.11	0	1047.205	0	883.368	0	858.7964	0	1670.6	0	1634.079	0	1237.779	0	1432.538	0	
ILMN_1228338	397.9869	0	412.167	0	488.1498	0	439.5357	0	1065.741	0	1302.594	0	1978.338	0	1231.598	0	
ILMN_1225674	741.7657	0	652.8059	0	609.713	0	594.2292	0	1075.945	0	1563.475	0	1955.837	0	1328.687	0	
ILMN_2623776	345.0933	0	291.1436	0	276.8607	0	210.658	0	480.7162	0	422.0651	0	461.4495	0	336.9912	0.001253133	
ILMN_2720150	74.95844	0.03383459	61.99781	0.0914787	74.30372	0.04010025	70.64611	0.03884712	109.3801	0.05513784	110.7275	0.08646616	180.8399	0.1441103	170.3367	0.1478697	
ILMN_1223406	43.26751	0.7393484	47.55876	0.3847118	47.92362	0.6917293	42.82257	0.8684211	62.0243	0.4423559	64.85771	0.4761905	95.62689	0.4411027	100.9324	0.7994987	
ILMN_2821263	108.7004	0	106.7119	0.001253133	101.5427	0.003759399	96.13696	0.001253133	246.6945	0	336.6365	0	404.7814	0.003759399	323.9335	0.001253133	
ILMN_1224023	35.67194	0.9924812	37.14948	0.9837093	38.79538	0.9937344	43.96505	0.8107769	57.90237	0.5864662	51.28551	0.9548872	60.53513	0.9398496	92.35677	0.8984963	
ILMN_2707865	60.89542	0.1052632	74.20174	0.03007519	78.40559	0.02506266	74.83189	0.02255639	160.5235	0.006265664	179.8734	0.01002506	251.5952	0.05137845	206.6054	0.04511278	
ILMN_2679830	47.32901	0.4636591	44.87191	0.5350877	53.42233	0.377193	47.1521	0.5426065	54.75872	0.7230576	58.12688	0.7180451	59.15315	0.9598997	118.7601	0.5601504	
ILMN_1217786	45.32655	0.5802005	44.97974	0.5338346	47.93976	0.6917293	52.14262	0.2581454	64.98745	0.3721805	73.10126	0.3245614	101.8415	0.3972431	139.4417	0.3270677	
ILMN_1238851	51.57301	0.2756892	48.23997	0.3471178	51.27539	0.4849624	55.20528	0.1892231	56.46439	0.6478696	61.65718	0.585213	79.80834	0.6102757	100.2229	0.8120301	
ILMN_2603401	46.15723	0.537594	40.49926	0.8446115	49.91148	0.5651629	45.35988	0.70802	56.45019	0.6478696	56.11026	0.8195488	70.00069	0.7756892	70.93507	0.9974937	
ILMN_2940568	42.6068	0.7794486	38.80738	0.9285714	52.81441	0.406015	47.90914	0.4761905	64.19643	0.3884712	63.18509	0.5250627	88.80517	0.4987469	114.5259	0.6165413	
ILMN_2619200	46.64856	0.5075188	44.52921	0.5538847	50.01999	0.5551379	45.5895	0.6967419	71.7271	0.2807018	81.07915	0.2581454	115.8085	0.3233083	163.0351	0.1829574	
ILMN_2734969	459.8204	0	423.1635	0	341.0186	0	384.1326	0	675.2438	0	762.4635	0	1080.944	0	737.9779	0	
ILMN_2679591	57.51382	0.1478697	61.01098	0.1015038	70.45574	0.05764411	70.77854	0.03884712	107.8385	0.05889724	140.5871	0.02756892	235.7092	0.0689223	216.8935	0.02506266	
ILMN_1222158	52.78031	0.2318296	45.63578	0.4962406	52.86159	0.4010025	49.43275	0.3734336	52.80352	0.8032581	66.07394	0.4411027	72.89795	0.7243108	118.1865	0.5651629	
ILMN_2844838	50.26421	0.3107769	47.57121	0.3847118	53.8822	0.3571429	50.18595	0.3308271	62.3588	0.4310777	71.36478	0.3345865	96.61488	0.4310777	123.8553	0.4724311	
ILMN_2772035	44.18722	0.6679198	44.9159	0.5338346	47.42598	0.7230576	44.3056	0.7907268	52.36682	0.8245614	64.00581	0.5	69.04333	0.79198	109.9966	0.6654136	
ILMN_2604210	43.721	0.6954888	32.50157	1	43.82695	0.9210526	46.67997	0.585213	54.34459	0.7431078	59.79433	0.6528822	91.22362	0.4786967	113.4862	0.6278195	
ILMN_2719614	47.16276	0.4749373	47.54515	0.3847118	52.23418	0.4310777	46.37142	0.6152882	85.37225	0.1704261	88.2722	0.2055138	191.8705	0.1253133	166.3296	0.1616541	
ILMN_2769712	43.74133	0.6917293	40.64236	0.8320802	51.03667	0.5037594	44.29621	0.79198	58.01695	0.5802005	70.91532	0.3446115	100.2657	0.4085213	147.5975	0.2694235	
ILMN_2779703	419.0448	0	367.317	0	323.4381	0	365.7147	0	844.4872	0	741.3461	0	1080.018	0	821.7175	0	
ILMN_1216460	45.85913	0.556391	41.41861	0.7869674	54.42218	0.3308271	48.11012	0.4661654	77.64412	0.2293233	66.89414	0.4197995	125.5338	0.2894737	181.3772	0.1115288	
ILMN_1233075	162.5293	0	196.3334	0	140.1	0	145.4915	0	255.7702	0	299.0006	0	394.49	0.005012531	424.1373	0	
ILMN_2957113	3654.6	0	3872.17	0	3390.107	0	3851.887	0	6902.527	0	6470.569	0	8973.928	0	6827.392	0	
ILMN_1218154	328.5297	0	216.1673	0	279.6646	0	192.3819	0	398.5288	0	344.9211	0	322.4944	0.01378446	319.1508	0.002506266	
ILMN_1259904	325.6523	0	305.8146	0	274.3757	0	287.094	0	439.7709	0	450.3616	0	616.6313	0	438.8193	0	
ILMN_2728866	54.93434	0.1854637	56.12521	0.1516291	59.32533	0.1929825	60.39984	0.1027569	115.8114	0.04135338	121.309	0.05889724	234.3156	0.07017544	177.1383	0.1240602	
ILMN_2984462	695.1733	0	661.1852	0	680.9579	0	583.8716	0	1902.687	0	2536.525	0	3557.139	0	2513.875	0	
ILMN_2769261	1019.306	0	906.2045	0	1100.025	0	1009.566	0	2089.775	0	2589.366	0	3785.938	0	2481.504	0	
ILMN_2688327	45.8842	0.556391	47.48866	0.3847118	50.6221	0.5238096	42.61416	0.8872181	71.40063	0.2857143	75.01537	0.302005	86.65915	0.5213032	127.0478	0.4385965	
ILMN_2600315	143.4454	0	119.2691	0	144.8278	0	116.9298	0	285.6809	0	290.5983	0	539.6054	0	324.9305	0.001253133	
ILMN_2629069	42.34074	0.8032581	46.3032	0.462406	53.49697	0.3746867	56.84572	0.1578947	113.1007	0.04385965	81.7799	0.2518797	157.9379	0.1942356	157.9116	0.2142857	
ILMN_2719001	92.14817	0.005012531	73.98063	0.03007519	75.75515	0.03383459	74.68912	0.02255639	103.9184	0.0689223	100.3605	0.1428571	168.3248	0.1729323	155.6469	0.2280702	
ILMN_1246153	53.35785	0.216792	49.09561	0.302005	60.54713	0.1716792	54.17774	0.2105263	83.74236	0.1904762	95.15617	0.1716792	114.3309	0.3283208	154.9435	0.2305764	
ILMN_2735702	42.59327	0.7794486	42.3875	0.7255639	51.29392	0.4849624	44.82191	0.7556391	53.5583	0.7769424	54.95576	0.8634085	71.14386	0.7593985	104.7285	0.7380952	
ILMN_1219065	47.10063	0.4786967	48.46881	0.3320802	48.50888	0.6629072	45.76049	0.6817043	94.66424	0.1077694	93.40504	0.1817043	127.9411	0.2869674	180.6834	0.112782	
ILMN_2651005	124.1346	0	102.4522	0.001253133	102.3768	0.003759399	102.7794	0.001253133	123.6018	0.03007519	187.5216	0.006265664	231.0321	0.07518797	171.3286	0.141604	
ILMN_2684661	50.08604	0.3195489	51.70211	0.2293233	54.68639	0.3195489	46.99681	0.556391	73.49273	0.2669173	58.92456	0.6754386	70.29187	0.7744361	106.8362	0.7042606	
ILMN_2650998	106.9417	0	82.79446	0.01253133	83.5965	0.02130326	80.29964	0.01002506	125.6325	0.02882206	171.1874	0.0112782	181.1816	0.1441103	208.4994	0.04260652	
ILMN_1260248	45.62727	0.5651629	46.89006	0.4273183	48.94597	0.6328321	45.39177	0.7067669	78.83481	0.2142857	68.89938	0.3834586	176.7838	0.1541353	140.6256	0.3195489	
ILMN_1253014	41.35676	0.8621554	47.09736	0.4172932	46.6413	0.7769424	43.19041	0.849624	49.37857	0.9348371	52.34861	0.9423559	71.37866	0.7518797	109.2418	0.6704261	
ILMN_2745433	3236.938	0	2908.02	0	2704.844	0	2851.81	0	5841.736	0	5343.867	0	6639.816	0	4874.617	0	
ILMN_1256488	380.7514	0	330.4565	0	411.71	0	295.1484	0	1308.584	0	1128.002	0	1817.798	0	1133.186	0	
ILMN_1241196	352.907	0	357.3387	0	311.7171	0	308.4586	0	892.4473	0	991.5535	0	1014.512	0	847.9804	0	
ILMN_2599615	669.3624	0	844.736	0	637.5424	0	715.2343	0	1567.169	0	1457.868	0	1990.67	0	1447.628	0	
ILMN_2992541	3362.317	0	3726.761	0	2807.451	0	3282.893	0	5042.266	0	5577.804	0	8077.991	0	5656.765	0	
ILMN_2919786	3782.304	0	3877.58	0	4283.643	0	3801.715	0	7224.165	0	6089.706	0	7781.625	0	6343.571	0	
ILMN_2849753	308.871	0	256.2291	0	224.8335	0	244.4666	0	692.428	0	890.9308	0	959.5162	0	877.275	0	
ILMN_1224256	573.1196	0	482.5944	0	570.3104	0	438.8977	0	945.8221	0	956.908	0	1319.957	0	856.7346	0	
ILMN_1246564	93.64942	0.005012531	103.6292	0.001253133	88.94526	0.01002506	91.57317	0.003759399	120.2806	0.03634085	124.7517	0.05639098	154.1213	0.2055138	151.6109	0.2481203	
ILMN_2816315	94.41395	0.005012531	69.61029	0.04260652	91.22077	0.01002506	86.63034	0.005012531	276.632	0	259.2843	0	444.7321	0	319.5432	0.001253133	
ILMN_1241908	800.7561	0	815.5455	0	889.5503	0	822.6528	0	1653.337	0	1775.495	0	2552.881	0	1734.905	0	
ILMN_2801970	54.6271	0.1904762	49.70762	0.2869674	59.97113	0.1829574	56.75108	0.1591479	75.69672	0.2431078	77.13653	0.2844611	125.2672	0.2894737	175.0396	0.1290727	
ILMN_1257143	47.10176	0.4786967	43.51934	0.6265664	49.82979	0.5714286	50.03649	0.3370927	57.57775	0.5977443	55.87452	0.8308271	103.137	0.3809524	105.6864	0.7218045	
ILMN_2637438	52.2733	0.245614	52.18474	0.216792	50.33538	0.5401003	50.07622	0.3358396	58.53082	0.5639098	65.97134	0.4448622	72.91597	0.7243108	86.45015	0.9536341	
ILMN_2738893	612.262	0	630.9832	0	551.9135	0	577.2108	0	779.8612	0	845.1761	0	1220.748	0	879.7799	0	
ILMN_1221898	41.58624	0.8521304	46.40693	0.4536341	44.57318	0.8922306	42.79598	0.8684211	66.61967	0.3421053	64.98705	0.4749373	92.56452	0.462406	118.3492	0.5639098	
ILMN_1214511	53.53484	0.2092732	46.8287	0.4298246	63.12442	0.1265664	56.03733	0.1691729	76.32456	0.2406015	74.85087	0.3057644	87.96158	0.5050125	126.675	0.4411027	
ILMN_2727376	43.5929	0.7055138	47.08081	0.4172932	44.39764	0.9022557	46.27488	0.6290727	75.27214	0.2481203	87.82552	0.20802	145.3216	0.2243108	143.0501	0.2994987	
ILMN_2692960	139.9718	0	106.2805	0.001253133	100.0125	0.003759399	115.5036	0	183.0748	0	279.3957	0	392.5485	0.005012531	266.7153	0.003759399	
ILMN_1239185	6093.956	0	6546.584	0	5504.6	0	5767.055	0	7389.208	0	7288.606	0	10034.88	0	7538.388	0	
ILMN_2714031	7071.021	0	5522.019	0	3870.102	0	5219.265	0	4758.732	0	5903.099	0	8745.171	0	7142.016	0	
ILMN_1235564	46.08528	0.5426065	44.63679	0.5451128	50.0583	0.5538847	49.45214	0.3709273	54.31628	0.7456141	53.71905	0.9110276	62.87675	0.8947368	101.9601	0.7769424	
ILMN_2980371	42.99627	0.7606516	44.68955	0.5426065	42.77911	0.9486216	46.41259	0.6102757	70.58724	0.2932331	61.00453	0.6077694	106.5924	0.368421	119.6659	0.5463659	
ILMN_2704749	66.85999	0.05263158	58.23671	0.1290727	71.38009	0.05513784	65.43118	0.06641604	92.24197	0.1290727	118.6554	0.06390978	154.6282	0.2042606	190.0717	0.08145364	
ILMN_2627528	47.32775	0.4636591	40.80936	0.8258145	57.95815	0.226817	47.91365	0.4761905	56.10778	0.6616541	59.5668	0.6578947	90.00456	0.4887218	125.9214	0.4498747	
ILMN_2690839	52.97861	0.2243108	52.62536	0.2067669	64.52132	0.1115288	52.11678	0.2581454	132.2813	0.02005013	195.12	0.006265664	262.5116	0.04135338	218.1053	0.02380952	
ILMN_3063514	97.57127	0.003759399	87.4153	0.007518797	74.22142	0.04010025	84.50813	0.007518797	133.0737	0.02005013	138.2007	0.03258145	155.2328	0.1992481	150.6229	0.2531328	
ILMN_2834065	504.5777	0	299.1726	0	341.787	0	288.1036	0	418.2328	0	364.974	0	497.1523	0	342.9093	0.001253133	
ILMN_1229306	137.0587	0	148.711	0	106.4598	0.002506266	122.3307	0	303.5388	0	419.7856	0	686.4816	0	476.497	0	
ILMN_2917221	189.2914	0	177.7297	0	125.0824	0	145.4857	0	343.4296	0	554.7759	0	825.7874	0	695.0734	0	
ILMN_2917223	450.3805	0	460.2946	0	333.5489	0	458.1627	0	1009.439	0	1528.255	0	2147.101	0	1847.72	0	
ILMN_1219686	972.8373	0	1228.886	0	1005.595	0	1167.925	0	5122.399	0	5010.807	0	6294.777	0	5569.312	0	
ILMN_1257574	214.0677	0	349.9036	0	179.0409	0	267.9509	0	910.7915	0	821.5557	0	1144.386	0	1021.987	0	
ILMN_2911855	141.2365	0	87.68826	0.007518797	108.3048	0.002506266	88.00969	0.003759399	130.767	0.02130326	108.1344	0.09398496	164.2602	0.1804511	156.8149	0.2205514	
ILMN_3076219	67.36448	0.05012531	60.95982	0.1015038	83.04627	0.02130326	66.54101	0.05889724	101.5825	0.0764411	116.7123	0.07142857	186.9621	0.1328321	207.9908	0.04385965	
ILMN_3045869	66.52972	0.05388471	68.69182	0.04761905	68.79141	0.07393484	61.65951	0.0952381	100.0473	0.07894737	141.126	0.02756892	283.4941	0.03007519	193.6542	0.07017544	
ILMN_3107059	107.1173	0	112.5335	0	125.5772	0	106.0163	0	365.1706	0	569.4753	0	551.7832	0	707.6885	0	
ILMN_2731578	44.37141	0.6553885	47.18534	0.4035088	48.15191	0.679198	46.74223	0.5789474	86.52084	0.1654135	91.84681	0.1879699	98.38448	0.4172932	150.7301	0.2531328	
ILMN_2789925	41.30179	0.8621554	39.87953	0.8884712	39.85952	0.9862155	40.8396	0.9486216	55.97976	0.6716792	58.39254	0.6992481	99.70593	0.4135338	109.0681	0.6729323	
ILMN_2604666	44.30767	0.6578947	39.72366	0.89599	45.67686	0.8283208	47.96374	0.4736842	45.81374	0.9862155	55.10092	0.858396	68.14495	0.8070176	76.91289	0.991228	
ILMN_2726412	48.80011	0.368421	46.67877	0.4373434	56.94244	0.2568922	52.35807	0.2556391	73.96706	0.2631579	85.74712	0.2218045	81.87243	0.5789474	126.4744	0.4423559	
ILMN_3115826	56.66101	0.160401	46.38199	0.4548872	52.58082	0.4122807	42.66427	0.8809524	68.31073	0.3132832	70.40865	0.3508772	114.3493	0.3283208	147.4685	0.2719298	
ILMN_3041053	48.94466	0.3659148	45.48599	0.5062656	45.4459	0.849624	47.2532	0.5350877	52.01739	0.8345864	69.14667	0.3746867	61.97746	0.9122807	99.18674	0.8270677	
ILMN_1236030	58.4228	0.1365915	56.12313	0.1516291	63.08511	0.1278196	52.81717	0.2343358	125.9796	0.02882206	100.9993	0.141604	155.9699	0.197995	153.4836	0.2343358	
ILMN_2972292	473.8141	0	412.5266	0	452.7342	0	428.3371	0	1020.065	0	1165.5	0	1501.654	0	1288.58	0	
ILMN_1228497	44.86393	0.6165413	43.11601	0.6516291	51.12493	0.5025063	51.45579	0.2744361	59.54	0.5225564	59.80605	0.6528822	96.96271	0.4285714	100.3003	0.8095238	
ILMN_1242148	53.66532	0.20802	52.639	0.2067669	66.66662	0.08521304	64.62528	0.0764411	84.8061	0.1766917	91.20847	0.1904762	177.5132	0.1478697	162.6145	0.1879699	
ILMN_1245243	43.39701	0.7255639	42.27266	0.7343358	52.16042	0.4335839	47.70682	0.4937343	56.70682	0.6353384	55.63216	0.8370928	98.02005	0.4197995	106.7298	0.7042606	
ILMN_2625674	45.79236	0.5588973	44.2438	0.5764411	53.65094	0.3671679	48.01413	0.4736842	53.71592	0.7706767	58.01541	0.7205514	56.61273	0.9774436	109.8326	0.6654136	
ILMN_1240716	650.4822	0	530.2461	0	562.9649	0	492.3795	0	792.6955	0	829.407	0	1174.576	0	727.1653	0	
ILMN_2731637	41.55397	0.8533835	40.35997	0.8546366	44.03405	0.9160401	41.28414	0.9348371	53.83601	0.7656642	55.12645	0.8558897	60.24294	0.9461153	92.39036	0.8972431	
ILMN_2995755	4233.908	0	4229.358	0	3770.21	0	3544.983	0	7352.999	0	6150.39	0	7490.448	0	5764.461	0	
ILMN_2649966	5336.588	0	4637.061	0	5395.513	0	5156.077	0	8898.952	0	9334.751	0	12464.07	0	9207.146	0	
ILMN_1237075	1331.511	0	1459.83	0	1545.056	0	1687.148	0	3564.874	0	4229.554	0	5416.247	0	3884.025	0	
ILMN_2800655	1939.389	0	1751.581	0	1705.574	0	1937.485	0	4211.284	0	5255.141	0	6329.13	0	4521.085	0	
ILMN_2627895	3003.772	0	2731.717	0	2616.532	0	2409.717	0	3965.751	0	4275.543	0	5225.201	0	3788.848	0	
ILMN_3104414	3908.252	0	3234.475	0	2814.25	0	2775.896	0	3963.395	0	4482.112	0	5851.769	0	3745.698	0	
ILMN_3005058	50.15958	0.3195489	43.47721	0.6315789	45.60926	0.8358396	45.57664	0.6967419	73.25645	0.2694235	85.84462	0.2218045	132.8094	0.2744361	163.7228	0.1766917	
ILMN_2669804	655.5719	0	703.1896	0	552.3521	0	739.7063	0	1530.067	0	1814.424	0	2319.465	0	1743.754	0	
ILMN_2621074	464.9401	0	427.5067	0	355.9857	0	382.452	0	589.3379	0	785.3437	0	1089.141	0	808.9993	0	
ILMN_2612868	51.64735	0.2744361	44.63418	0.5451128	46.8283	0.7631579	52.92888	0.2318296	65.81284	0.3521303	66.71622	0.4235589	89.45779	0.4924812	101.0218	0.7994987	
ILMN_1236290	56.01363	0.1729323	58.38893	0.1253133	59.16656	0.197995	55.98573	0.1691729	85.14653	0.1729323	90.75404	0.1929825	113.3747	0.3358396	160.7543	0.197995	
ILMN_2770739	57.13596	0.1516291	62.98589	0.08145364	53.0033	0.3909774	52.40851	0.2518797	99.36172	0.08270676	80.73639	0.2593985	113.258	0.3358396	150.9952	0.2493734	
ILMN_3157483	2428.528	0	2574.105	0	1575.032	0	2384.529	0	3588.039	0	4864.758	0	6945.903	0	5389.456	0	
ILMN_2594714	2517.454	0	2714.218	0	2276.333	0	2254.714	0	5643.683	0	6320.479	0	8022.278	0	6494.202	0	
ILMN_2678641	43.19772	0.7431078	43.91165	0.6077694	53.66103	0.3671679	48.26768	0.452381	58.90604	0.5438597	80.93118	0.2581454	97.29041	0.4260652	139.7314	0.3258145	
ILMN_2643915	54.1715	0.197995	60.67448	0.10401	65.25446	0.1002506	56.25168	0.1666667	73.58976	0.2656642	107.4681	0.09649123	129.7812	0.2807018	160.0748	0.2017544	
ILMN_2649709	62.32794	0.08897243	70.51136	0.04010025	65.94501	0.0914787	64.25291	0.07769424	97.82494	0.09398496	143.7559	0.02255639	224.484	0.08145364	238.2784	0.00877193	
ILMN_2778111	122.3725	0	130.0359	0	95.41383	0.006265664	111.7185	0	194.2234	0	197.0995	0.006265664	325.2823	0.01253133	255.6656	0.006265664	
ILMN_2938047	200.8547	0	234.6936	0	135.5556	0	171.8423	0	325.4052	0	461.1597	0	689.7388	0	465.5405	0	
ILMN_2669199	126.8276	0	109.0601	0.001253133	115.787	0	98.64537	0.001253133	195.0666	0	212.4902	0.002506266	255.4419	0.04761905	211.0085	0.03634085	
ILMN_2906165	47.2986	0.4649123	39.86993	0.8884712	43.80906	0.9223058	46.00633	0.6578947	75.39368	0.2481203	66.88653	0.4197995	103.8979	0.377193	144.0069	0.2882206	
ILMN_2706562	424.1942	0	365.7498	0	360.9642	0	336.5771	0	893.3533	0	1047.531	0	1277.081	0	854.3016	0	
ILMN_2690938	683.3468	0	512.0105	0	559.9285	0	499.2944	0	1111.731	0	1197.787	0	1709.628	0	1175.872	0	
ILMN_2668165	334.5375	0	232.7866	0	239.9481	0	209.7173	0	260.4687	0	274.5908	0	396.781	0.005012531	339.3789	0.001253133	
ILMN_2916149	55.04165	0.1854637	53.96894	0.1817043	60.10635	0.1817043	56.20331	0.1666667	83.55537	0.1904762	74.80906	0.3070175	110.8568	0.3446115	139.9631	0.3245614	
ILMN_1217576	301.2852	0	224.9172	0	182.123	0	182.7519	0	225.1493	0	179.113	0.01002506	211.9899	0.09273183	188.0682	0.08897243	
ILMN_3153285	66.65666	0.05263158	62.95613	0.08145364	66.42889	0.08521304	65.54316	0.0651629	118.0597	0.03759398	97.14957	0.1616541	105.5954	0.3721805	150.7451	0.2531328	
ILMN_1251669	284.9492	0	357.7094	0	268.5482	0	292.9342	0	596.6639	0	559.5483	0	920.6594	0	604.0822	0	
ILMN_3049896	44.01077	0.6754386	49.6346	0.2894737	53.12421	0.3884712	48.26149	0.452381	67.61613	0.3258145	65.1807	0.4686717	77.89556	0.6403509	144.6777	0.2857143	
ILMN_3125939	54.18776	0.197995	46.66056	0.4398496	59.85134	0.1842105	53.06781	0.2318296	61.43192	0.4548872	60.15005	0.6441103	64.65712	0.8659148	94.61044	0.877193	
