gene	UT1	UT2	Ab1	Ab2	L1	L2	LAb1	LAb2
Car9	3.555565297	3.062788637	3.469749369	3.501485261	4.466100259	5.155128853	4.933104166	4.964934711
Hnrnph3	10.84397232	11.91006906	14.51362109	11.44104974	7.528440344	8.841892005	8.096440923	8.743668319
Prpsap2	26.013484	23.31437759	20.96859963	29.32458348	18.82079273	19.13940639	19.07940144	19.96810583
Pdcd11	15.05734832	14.8751384	10.84292917	9.892666304	9.484178719	10.71998721	10.47338782	10.30945708
Foxp4	10.47409042	12.2982805	15.76269015	8.591854102	7.747419362	8.121327063	8.47567633	7.846947037
Slc25a28	12.77050477	11.24531673	11.6919153	12.85089815	10.97012991	11.89212467	12.32749041	11.18798838
Bbs7	2.463099545	3.081569602	3.059286374	2.304913072	1.178066229	1.065317711	1.010353673	1.296962537
Prpf40b	5.322011009	5.525446168	3.928412485	4.102718321	6.072676192	6.020098905	6.079825417	6.356324282
Derl2	7.615411683	7.422607907	5.899582515	8.739178467	8.356167413	8.883150259	8.529399631	9.198298721
Srsf4	10.1201103	10.64452935	7.696168342	6.150594427	4.13780929	4.757937992	4.675130741	4.472107305
Tmem176b	24.33718108	20.59252216	22.08772129	28.90321669	29.65824953	27.04441985	30.53485937	27.76530139
Rab34	28.25432729	23.07372343	18.71117772	28.78469452	21.76325216	21.16685729	23.4095513	20.72916877
Aacs	27.88904116	27.6820794	18.2244808	22.0447802	6.345298936	7.412747073	7.374897998	6.770461961
Cog6	8.53489698	8.217914589	7.356238349	7.262149492	5.455625848	6.471029132	6.070393725	6.191542072
Zbtb17	11.99672048	12.73015662	10.86981929	10.8221729	14.85364785	15.07838932	16.307373	14.46338838
Ppp1r21	13.11378858	14.32945173	16.21263874	12.62489418	10.53034815	11.36895647	11.21895708	11.2939824
H3f3a	135.8702753	101.6814651	92.47436181	181.785918	129.4990958	119.8552727	127.2597943	129.0749666
Arpc4	132.6280118	99.95919647	83.18564694	123.7638872	81.43545655	76.94356246	84.93251859	77.87461778
Rnf170	2.203494556	2.419360032	2.302472758	2.712671922	1.516681024	1.732830331	1.455241915	1.885035337
Ddost	149.5328824	127.9214594	142.6049043	146.6841367	104.2705878	100.7717863	113.126451	97.63673604
Acad11	2.08472762	2.045353217	1.734078589	1.746336129	0.902311015	1.025978999	0.988103023	0.993905017
P2rx7	4.724453861	4.858900312	4.00674859	2.877771917	1.183611737	1.383439019	1.429927861	1.208530368
Nsun4	3.05461301	2.65981198	2.31959283	3.427861875	4.094141414	4.139638942	4.573489568	3.889258148
Eml3	12.67343194	10.99926234	6.818736171	9.297451066	6.587102923	7.03100311	7.125913598	6.870543708
Tfb1m	4.66919753	4.250644536	4.846619695	5.426667538	4.727899817	4.14542138	4.390913191	4.72855549
Sting1	16.92284954	14.98900112	18.96909005	18.30784549	10.76323996	11.22625397	11.65825311	10.93805047
Ift20	18.04742362	12.72056119	15.7128097	21.12617407	13.7938829	13.37966318	14.82027135	13.10244834
Ier3ip1	19.98731908	18.13490708	13.30767878	31.20047608	18.61107564	18.76050183	17.97968693	20.42203302
Spaca6	0.701617288	0.933415556	0.52573479	0.705155225	2.02049773	2.419744441	2.108148704	2.454468593
Zfp628	4.548607907	5.098614831	5.782544462	3.56101366	1.645247424	2.214848788	2.427766989	1.538614954
Cox10	12.98422472	11.3744446	12.19931293	9.587059977	7.666287646	8.987310274	9.283471869	7.82865066
Qtrt1	11.83702481	10.48952448	10.89662351	15.51666781	19.09546041	18.20345709	22.4377408	15.88731739
Stau1	12.68062657	14.76917042	12.58565902	8.136099108	8.410531747	9.187403696	8.29957333	9.781843532
Sart1	18.34848999	19.52720513	20.22212321	16.3555196	10.94351557	10.85917589	11.57676418	10.82473935
Selenow	110.6456121	97.90607321	124.3012404	137.9734472	254.088414	239.5447217	277.5252996	229.656801
Eepd1	6.77588156	6.599987686	5.020863351	4.458467629	3.161990894	3.489377297	3.515921822	3.317983425
Sgk1	0.729150997	0.691183505	0.736488578	0.867125024	0.647539973	1.337978731	1.144063639	0.89588149
