"","UT1","UT2","Ab1","Ab2","L1","L2","LAb1","LAb2"
"Gm26448",3.61573291789127,3.53939732682053,3.50486613235315,3.57631279045985,3.72990924413415,3.52758105735195,3.98949927557299,3.9955143890109
"Gm33887",5.08299970040416,4.9694393108169,3.95533634363272,3.54469712590953,3.55673248403268,3.54484190614232,3.46500985045459,4.22620024782785
"Rab19",4.09348202689808,4.05881803258467,3.90878612990303,4.27691795590723,3.2594401225707,3.37740148934226,3.62436460579713,3.56039597435309
"Sqor",3.90217296901125,3.81968401873669,3.78378786715643,3.94585710102834,5.45141027397534,5.57093564951152,6.13900841709183,6.01243710994564
"Cd80",3.89304489128221,3.77694064586916,3.9506881924108,3.76703125015446,5.85228809772842,5.85528551888672,6.37975692276088,6.49033262555364
"Upp1",2.80266103821849,2.79481673380798,2.88526225095973,2.93032929065771,6.53570724167238,6.62307116965204,7.30525034883383,7.04596181633937
"Ubox5",4.11705257932786,4.0250775165986,3.96330426143975,3.8567144937323,3.59434827921383,3.78193592697619,4.02287171258195,4.08631459094139
"Ppcs",4.95500095145793,4.895059796301,4.91290074024549,5.22469307161174,4.10089360594522,4.26896299610041,4.67115937795718,4.59662799678835
"Dnajb5",3.38482502710524,3.4094786014504,3.25661737836572,3.15589555621868,3.49302983009761,3.64222987131891,3.91841015845799,3.88560149696538
"Fut7",3.83122238021165,3.67884035808425,3.62394785001395,3.87703173789725,3.12751227881799,3.33832697302096,3.51852419383254,3.4410428896649
"0610009B22Rik",5.98059652409406,5.70046879648518,5.83050607519729,6.25003581773943,5.52134841430248,5.67106011441035,6.19732209538939,6.11458286703175
"Bcl3",3.84694327207591,3.83177235016203,4.32320838599188,3.84685356824189,5.77956753802128,5.83908800155111,6.39832737591982,6.3494308273479
"Gpr84",5.5148164053543,5.61804193238787,6.17575546040283,5.23862147261021,5.00757761021232,5.25775195055443,5.78228642280779,5.53108618602614
"Pnp2",3.08154015525046,3.00876629124535,2.93769014723601,3.5683132016915,3.62228720845187,3.69841893005154,4.05389465651508,3.95611697771643
"Gm53056",4.20423304982102,4.22649191134718,3.42563657898491,3.93409871562401,3.90807912852858,4.45292992884325,4.61810271419069,4.65964990261247
"Ifi202b",3.74480570579757,4.02913377728682,4.7399977216306,4.77757686255369,6.60992267565537,6.75223468673596,7.0649000696528,7.44874567077249
"Rtl8b",3.53530127224049,3.58134205256221,3.82202597134373,3.63441815050053,3.37131038121349,3.22136188588645,3.61039186864499,3.49837644285381
"Cebpe",4.13524602249949,4.19462656392751,4.08018149275402,4.20432074260887,3.28135355979974,3.34089961625837,3.46490144459085,3.66925377242281
"Gm8355",4.0912568663577,3.8288348480198,4.06851207604454,4.54893596484252,3.98416673101634,3.97349329116573,4.31711207929421,4.43626703797589
"Rnf227",4.2020614532382,4.06910316003547,4.05034675157123,4.1209792207447,3.06340964035541,2.96852527775828,3.25847420669604,3.09532133220628
"Gm25432",5.62284362738337,5.6872831165022,5.89574980135225,6.03597977893058,5.19199346818973,5.04664640907094,5.41849683861876,5.8248393406026
"Hdc",2.8258633682705,2.90970877101996,2.79077908359387,2.80436580162154,6.62041102387205,6.5103983304641,7.11132633846873,7.15862517264266
"Spryd4",5.34077339420714,5.00148991312774,4.66243583081163,5.16319579475568,4.65104581670603,4.83385178544501,5.21203270827537,5.23814548706503
"Apip",5.620517978274,5.5554334649303,5.88459358125666,5.76012347062239,4.69439324842871,4.69228595266654,5.14364349791654,5.19592083162453
"Engase",4.12476421139571,3.87717291425997,3.46840565528886,3.92957845734846,3.25055782267254,3.34284693688304,3.580487505528,3.50955426080392
"Nkiras1",3.08972546774821,3.19510997413965,3.08163154477315,3.25144789773582,3.25261018135296,3.25185878781544,3.50934496560734,3.4673329944871
"Dcxr",5.2008381244956,5.13335105662607,4.64927955614836,5.37155495438033,4.6980946406447,4.70241058491632,5.23577820306171,5.11060717974359
"Ptrh2",5.5687880349027,5.29630029650449,5.01891810217703,5.83783972609073,4.36193862569013,4.54658454364865,4.94065724635584,4.87188523963584
"Pla1a",3.22748442769822,3.37422469333448,3.41430426505457,3.3478632853859,4.01241694691392,4.0041025051537,4.49712246202618,4.29675287226721
"Wfs1",3.09687538797544,3.10144642886571,3.1436199798022,2.88921581505601,2.86179438672293,3.05014569482644,3.11573666414762,3.07528543735863
"Tmem51",5.71746460456041,5.52610067570553,5.39380511934624,5.26315827620393,3.35377216089072,3.33502691786015,3.61783286956247,3.58353574330367
"Ndufb4b",4.51864924567323,4.77040754731778,4.80443331710401,4.63216468732273,4.82354719076524,4.75071349190348,5.02994309531462,5.46742646083846
"1700113A16Rik",3.35857329009696,3.35557224878821,3.72105813662815,3.38193101777079,2.98768417771681,3.15323095680577,3.17822178730361,3.31413678362549
"Clu",3.03962283991453,3.09544898123559,3.1344762661425,2.93570855603938,3.91955630664089,3.93801666832258,4.25144565525389,4.34769476577661
"Mylpf",3.43047670642077,3.1767378837549,3.22496578808579,3.13807545551538,2.92983859425404,2.96254553343207,3.1834188499221,2.95917429500439
"Irf1",4.12292508037902,3.988961358658,3.97093655598536,4.21517184026066,3.43500129766909,3.53864680728268,3.79770256495159,3.7500741319716
"P2ry6",6.28965210320018,6.25527903720901,6.7829878214365,6.13026012102986,5.70307738453326,5.9007753882056,6.39315802732866,6.25753677460784
"Tuba4a",7.46375594913318,7.47666168133896,7.77126867350825,7.32969170636754,6.17778485838302,6.35382557282856,6.84219659935115,6.76621914802245
"Dtx2",3.97974982401885,4.03696168228999,3.90166985915022,3.72645414786895,3.67747781112886,3.80901272781339,4.10645577418866,4.04809785340494
"Usp27x",3.16124933146462,3.2948217736457,3.09891805710646,2.85275194742282,2.77611396198257,2.90644670591104,2.88870587534848,2.97365748666444
"Tnfrsf13b",3.45633992448432,3.30733341749524,3.13675786888366,3.34744594215752,4.10811596463467,4.26473829782988,4.68623263906974,4.47971107167415
"Pycr1",3.8614264225376,4.09723280953981,4.16121180964772,4.15840855828139,3.4773468717734,3.45342891682834,3.86334266143059,3.60774757380283
"Fpgs",5.15419652103208,5.08213329434459,4.99748075525553,4.81531715615139,4.79684067872802,4.80246770328239,5.29455106100404,5.22396087046944
"Abt1",4.80313291556842,4.56488061145853,4.4205631253751,4.79543714803981,4.07426807416175,4.14612901496565,4.44223811298011,4.55090684062713
"Mir8116",3.71912766038314,3.99873043902599,4.47978947224979,3.94917197194656,3.13231212927144,3.04374996853926,3.26244224850501,3.26591813213276
"Srsf3-ps",3.99876181922538,3.8890651910601,3.57058699167456,3.99431368395619,3.22467869017871,3.08836643029385,3.3526432611433,3.35650819875825
"Magohb",3.33221539641524,3.23924661946503,3.06085657877885,3.43904257095494,4.43581372907418,4.5528255096403,4.76853923561742,5.06659880596114
"Cxcl14",3.41285484754547,3.15826061092156,3.19311762698036,3.68040477651665,3.03987339207873,2.99929928194409,3.21621834056227,3.12411225154224
"Fgr",5.96858251627819,5.97095058547538,5.91885899581766,5.61735018385795,6.06945442651465,6.02574695140789,6.54824612558025,6.58289731719665
"AI839979",3.48458054964908,3.72703479652577,3.43759740708463,3.69997594148096,3.43297601584977,3.56292969319402,3.67794801384201,3.87404412253697
"Gm26698",2.91210551906049,3.09660114955593,2.99892845143234,2.8853811712465,3.07099466576657,2.85304393302853,3.10520956376056,3.09677779235057
"Fbxl15",4.33077498239242,4.29594365045665,3.74044559061775,4.62777160966319,4.67004529930201,4.77773810862811,5.28081767088976,5.0474492851455
"Coa7",3.86363228669302,3.77391237539243,3.47116438368759,4.08434248197718,3.53322115274679,3.60895054273524,3.85851193645395,3.8649647186449
"Batf2",2.86711235160372,3.06374712517326,3.18007505930443,3.12954790210343,3.11939422284349,3.22234589270154,3.4524547970727,3.2691746834305
"Batf",2.86254489288246,2.79426069787084,2.80072658138422,2.78690783406971,4.56366073275849,4.56482172873552,4.99187156404426,4.98771805151554
"Bbln",4.8655992684144,4.73667209040702,4.65782060398992,5.17077531094437,5.47325659774432,5.36071393722695,5.98039694730085,5.81685745477505
"Actb",11.9508377309352,12.1444633955181,12.2591577797695,11.5830315486464,11.8756244194814,11.9477191657382,12.4525592853334,12.4720307312489
"9930012K11Rik",3.49389172808061,3.49212114305465,3.1964601823396,3.54783248821161,2.93305314699918,2.97351128289215,3.10273848136575,3.05382313967214
"Tubb4b",9.55971130841196,9.46272721701373,9.26333567056558,9.45900032898259,7.38456370632192,7.65832237374217,8.12772785329554,7.98767109475375
"Slc25a35",3.2465446749164,3.2794677174719,3.38592500888197,3.05350202902196,2.75792624220459,2.77688381780011,2.80784268606755,2.83845241556626
"Slc29a2",4.16109020291066,4.29386826433859,4.02759032315217,4.0207347742619,3.47173164667958,3.59675106318713,3.88402843257114,3.73864542692616
"Nudt17",3.0009218057046,2.86712489743154,2.90797698433801,3.04410945093205,4.46725050132628,4.55167365274737,4.88113920858699,4.97264360241175
"Pin4-ps",3.0157261662509,2.80422552299352,2.78375906192008,3.68772637419596,3.22453181363756,3.24024781764971,3.37343057826657,3.50632195278609
"Rbm43",5.36917217787436,5.46598684525629,5.61225773789261,5.52982216504281,3.81075034046506,4.04825502503395,4.21311324143733,4.34659889038581
"Polr2l",5.50352490006406,5.24638842819663,5.15140967297779,5.85788279997325,4.99070661336545,5.25449013043526,5.73743129685556,5.4198631583066
"Adprs",5.99778257955122,5.96358044181861,5.45679865894474,6.04084301316465,5.53511247709942,5.52646926137169,6.06898591182304,5.95375054906454
"Gm9396",4.10764470232409,4.07545413500292,3.85630304670806,3.9459527856489,3.98083182231254,4.00612917759801,4.34947006372207,4.34657805807603
"Hint2",4.58466058913591,4.21356241954225,3.87487163544698,5.04757983290095,3.9989477475826,4.19161793625239,4.48613891317563,4.44289558304446
"Tmem250-ps",5.56069208822341,5.4543737892886,5.16346694226791,5.26082170057406,4.74682601412001,4.82893984603794,5.2773295352455,5.16512236972483
"Gpr18",3.00468609155981,2.87947146900193,2.92918993301655,2.84320744727069,3.65653303570862,4.07434876579517,4.31280504811523,4.10187298986752
"Bcl2a1a",4.07389589467711,3.85195671127212,3.95559383830066,4.53495710964603,7.86168185432061,8.01080583027439,8.49087743912543,8.43827907498062
"Anxa1",6.27357426984449,6.26340047234458,6.75063410535342,7.40477398226524,8.07420404842881,8.11001981894099,8.57739815605529,8.66356932764112
"Rpsa-ps2",4.08235435739395,3.93943491367716,3.97121010226567,4.54362364104117,3.84842780494528,3.99645339382693,4.3720046142738,4.14494341031076
"Ccdc86",5.27935250635111,5.39315161483152,5.45799881023812,4.9771492612173,4.62081871778867,4.71277442629705,5.08405032929759,5.09710512819273
"Gm8494",3.32921900020898,3.59532152431362,3.60088558626125,3.55748474340177,3.32554888451794,3.30448947988712,3.40339835705545,3.6689896559494
"Dhrs13",4.92781844395411,4.8827732814782,4.74512582249485,4.85715985822733,4.13771685691012,4.43989793768986,4.62569628879672,4.73496727281114
"Hexim1",6.30979563623383,6.25088538121121,5.8948065913846,5.98811728993119,4.7358233779381,4.86271256128282,5.21856994159826,5.24464928602287
"Zfp362",5.0558589289929,5.18554996818248,5.40585223744965,4.42259190478332,3.52863830330042,3.64733367395006,3.82264491674462,3.91835824525375
"Gcdh",4.51291511235921,4.36010045330873,4.08478006707321,4.43311056950846,3.6428346627204,3.7022814513837,3.91723567110542,4.01980649170494
"Srp54c",4.26577834222552,4.61000167094267,4.96593504995285,4.83713102571887,4.70927672716437,4.74280104999679,5.04986829614812,5.24352539283514
"Sertad1",5.70420119110854,5.78055520052251,5.37298422517933,5.89552728582977,4.29903049967958,4.73839170006573,5.1198439447089,4.72352666740807
"Dusp5",3.5603716802594,3.57638712358244,3.56725234202577,3.3868855409716,4.92506971407241,5.18853738628433,5.5173454299925,5.49329376213449
"Rpl35",7.83186159081494,7.92018850910021,8.46569850246999,8.1322181535898,8.02203491745336,8.14040531568518,8.53561729369059,8.66289606103283
"Gm6756",3.44301916833804,3.65812855162753,3.41173416348766,3.49320335190557,3.19832274085743,3.2373256633651,3.51632800773352,3.29999446046377
"Acaa1b",3.97382023564606,3.47289100346082,2.98512668510438,3.9114871045698,3.29571863075998,3.07864180502563,3.34044561082121,3.42314917233049
"Mul1",4.85332190369178,4.65581369911776,4.0199818304597,4.56140845120282,3.65508892997194,3.89039911752377,4.16529035736241,3.99754648937131
"Hddc3",4.6356802268582,4.58517737669444,4.68299733773466,4.45852951517184,4.10711360604593,4.15634483652116,4.42102861376105,4.55697736702393
"Ebi3",5.47480018800103,5.72853183487719,5.92501272544652,5.19848013320129,7.01460715648987,7.00985630772973,7.55562792339472,7.46732971783039
"Nsfl1c",6.68763767647811,6.77497961232908,6.7173134337408,6.63915226741734,6.55508111220374,6.66315410464508,7.04249312608249,7.1593217825762
"Camk2n2",4.02079302501699,3.91678175878288,3.73640776058919,3.75710680581058,3.84387614592543,3.66796402035705,4.08138915614362,4.04480300889127
"Uqcc3",6.27479740263973,5.88306917978026,5.6534147751348,6.40112864587084,5.28103278527641,5.3735956955916,5.88216434642934,5.66011940603724
"Cnksr1",3.5331124083812,3.41062897036218,3.32629648960565,3.44112424527214,3.12786335589584,3.14221355744055,3.42250490748784,3.17376644140037
"Gm7935",3.15546876215976,3.09877603078122,3.24543942684833,3.09996759669561,2.8694453517506,2.9345252857824,3.08614537351033,2.90978132714374
"Rpl10-ps3",3.18544771149248,3.14122367367005,3.63311726555904,3.54929419988529,3.36046484368495,3.40073586121923,3.47113233958162,3.74054604340623
"Gm23318",2.88002988298109,3.01313583585669,3.00610343010531,2.94282451311309,3.16445913592276,3.30062024800893,3.20992598233311,3.62287289363438
"Tspoap1",2.77269950418252,2.82114457599681,2.76326599953022,2.81600219575847,3.52345689023016,3.62752283818817,3.8220358240454,3.8658522753249
"Pelo",3.34060214948361,3.26163903276825,3.26919239973304,3.29926758679006,2.88122523965103,2.99487925387982,3.00133760799445,3.09728782852711
"Gadd45gip1",3.90592576394546,3.8215048316496,3.87769844449902,3.92915316859409,3.25516592031714,3.30423381633627,3.51715209211273,3.45051435489718
"Pam16l",3.69697982396748,3.20735641088364,3.71766929283794,3.98646756154533,3.66738880310454,3.63227826274449,3.78362152485094,4.06563123667829
"Gm11353",6.14082483214825,5.9871669259032,5.76659454142558,6.4801936981013,6.30252730629431,6.17363289393442,6.69366592580329,6.73494349044825
"Saa3",3.13173008761838,2.95912511598116,2.84319293598807,3.20085317558028,7.76033116289908,7.48097918724392,8.36772238462603,7.81992032571582
"Tusc2",4.77355539552584,4.78251738855653,4.79261831498482,4.66735082867296,3.99764492852999,4.14028681923578,4.46416864735202,4.34955954611772
"Rps2-ps6",3.10276387982878,3.27287942123215,3.33711391111159,3.28311872908815,2.9712241351998,3.09047561631289,3.18055101224661,3.15723164835675
"Cebpa",5.52736921172501,5.29716134687802,4.86120415632017,5.26874751435674,4.17192069619106,4.39407097750719,4.68488164488853,4.61034607535329
"Gm9333",3.03871326431341,3.09806137153316,3.1347557371046,3.16531248806558,3.04257472400397,2.88984147351997,3.11472704242567,3.06030114827693
"Nfkb2",5.92032900027323,5.95292130994481,5.28913238025674,5.59986133898903,7.76722346032067,7.92677882322991,8.41298557305105,8.2589903281147
