gene_id	GCK1.1	GCK2	GCK3	control1.1	control2	control3	dex1.1	dex2	dex3
ENSG00000248744.1_7	0	0	0	0	0	0	0	0	0
ENSG00000136450.13_7	283	421	387	537	147	615	324	727	638
ENSG00000213212.3_5	0	0	0	0	3	4	0	0	0
ENSG00000267384.3_4	0	0	0	0	0	0	0	0	0
ENSG00000254083.6_7	0	0	0	0	0	0	0	0	0
ENSG00000204625.10_4	0	0	0	0	0	0	0	0	0
ENSG00000237911.2_4	0	0	0	0	0	0	0	0	0
ENSG00000226948.2_7	0	4	0	0	0	2	0	0	2
ENSG00000252628.1	0	0	0	0	0	0	0	0	0
ENSG00000232583.1_5	0	0	0	0	0	0	0	0	0
ENSG00000265191.1	0	0	2	0	0	0	0	0	0
ENSG00000267589.1_5	0	0	0	0	0	0	0	0	0
ENSG00000096092.6_4	5960	4199	3046	8544	2612	5373	4075	6716	3764
ENSG00000227549.2_9	0	0	0	0	0	0	0	0	0
ENSG00000260576.1_4	0	0	0	0	0	0	0	0	0
ENSG00000248822.1_4	0	0	0	0	0	0	0	0	0
ENSG00000199903.1	0	0	0	0	0	0	0	0	0
ENSG00000230914.3_7	0	0	0	0	0	0	0	0	0
ENSG00000188227.13_8	56	88	6	52	89	38	56	97	32
ENSG00000238455.1	0	0	0	0	0	0	0	0	0
ENSG00000249894.1_8	0	0	0	0	0	0	0	0	0
ENSG00000278961.2_8	0	0	18	0	0	8	0	0	0
ENSG00000264091.1	0	0	0	0	0	0	0	0	0
ENSG00000266304.1_7	0	0	0	0	0	0	0	2	0
ENSG00000238921.2	0	0	0	0	0	0	0	0	0
ENSG00000236489.1_6	0	0	0	0	0	0	0	0	0
ENSG00000225808.1_4	0	0	0	0	0	0	0	3	0
ENSG00000200291.1	0	0	0	0	0	0	0	0	0
ENSG00000258876.1_7	0	0	0	0	0	0	0	0	0
ENSG00000271382.1_7	0	0	7	0	0	0	0	4	0
ENSG00000115263.15_5	0	0	0	0	0	0	0	0	0
ENSG00000144476.6_5	4	0	0	7	0	4	0	12	0
ENSG00000108479.12_7	4332	1822	1285	3167	1551	693	3259	594	1110
ENSG00000286163.1_2	0	0	0	0	0	0	0	0	0
ENSG00000236316.2_2	0	0	0	0	0	0	0	0	0
ENSG00000101448.14_6	0	0	0	0	0	0	0	0	0
ENSG00000279718.1_4	0	0	0	0	0	0	0	0	0
ENSG00000211841.1_6	0	0	0	0	0	0	0	0	0
ENSG00000275016.5_7	0	0	0	0	0	0	0	0	0
ENSG00000238331.1	0	0	0	0	0	0	0	0	0
ENSG00000266708.1_7	0	0	0	0	0	0	0	0	0
ENSG00000265704.1	0	0	0	0	0	0	0	0	0
ENSG00000280088.1_7	63	130	59	146	36	107	45	113	97
ENSG00000113520.11_4	8	0	0	0	0	0	9	0	0
ENSG00000238328.1	0	0	0	0	0	0	0	0	0
ENSG00000201398.1	0	0	0	0	0	0	0	0	0
ENSG00000237772.2_8	0	0	0	0	0	0	0	0	0
ENSG00000229695.1_6	0	0	0	0	0	0	0	0	0
ENSG00000218502.3_5	0	0	0	0	0	8	4	3	3
ENSG00000224301.2_8	0	0	0	0	0	0	0	0	0
ENSG00000238120.1_7	0	0	0	0	0	0	0	0	0
ENSG00000261081.1_5	0	0	0	0	0	0	0	0	0
ENSG00000270212.1_7	0	0	0	0	0	0	0	0	0
ENSG00000136068.15_6	968	864	635	1152	920	1340	534	1266	1044
ENSG00000167595.15_10	96	102	109	126	77	141	89	99	95
ENSG00000220212.1_2	0	0	0	0	0	0	0	0	0
ENSG00000286774.1_1	0	0	0	0	0	0	0	0	0
ENSG00000270170.2_7	178	75	43	112	137	54	201	69	94
ENSG00000242671.2_6	0	0	0	0	0	0	0	0	0
ENSG00000178233.18_6	0	0	0	0	0	0	0	0	0
ENSG00000265515.1	0	0	0	0	0	0	0	0	0
ENSG00000228960.6_4	71	34	10	73	22	59	50	35	31
ENSG00000113327.16_7	0	0	0	0	0	0	0	0	0
ENSG00000288598.1_1	0	8	0	17	10	4	0	4	0
ENSG00000180900.20_6	52	18	18	22	0	4	23	11	4
ENSG00000267398.1_6	0	0	0	0	0	0	0	0	0
ENSG00000233609.3_4	0	0	0	12	18	0	0	0	0
ENSG00000285646.2_4	9	27	3	13	7	1	7	3	6
ENSG00000170265.12_5	264	205	48	248	199	196	246	201	184
ENSG00000230027.2_7	0	0	0	0	0	0	0	0	0
ENSG00000186340.15_8	1854	706	1334	2229	659	1702	1399	914	1053
ENSG00000262503.1_5	0	5	0	0	0	0	0	0	2
ENSG00000278085.5_4	0	0	0	0	0	0	0	0	0
ENSG00000266275.1	0	0	0	0	0	0	0	0	0
ENSG00000227107.1_6	0	4	0	0	0	0	0	0	0
ENSG00000261461.1_2	19	46	13	22	5	27	14	19	14
ENSG00000286980.1_1	0	0	0	0	0	0	0	0	0
ENSG00000228065.11_7	0	27	18	0	13	31	0	26	36
ENSG00000125449.7_4	85	86	60	126	14	91	133	25	172
ENSG00000144591.19_5	8883	6040	6238	8512	5261	8393	6479	3897	7598
ENSG00000138755.6_5	0	0	0	0	0	0	0	0	0
ENSG00000235200.3_6	0	0	0	0	0	0	0	0	0
ENSG00000004948.15_7	0	0	0	0	0	0	0	0	0
ENSG00000279585.1_5	0	0	0	0	0	0	0	0	0
ENSG00000273394.1_6	0	0	0	0	0	0	0	0	0
ENSG00000185885.16_5	21315	626145	11156	11658	605989	15388	22144	334386	9006
ENSG00000171496.4_6	0	0	0	0	0	0	0	0	0
ENSG00000266008.1	0	0	0	0	0	0	0	0	0
ENSG00000259336.1_8	0	0	0	0	0	0	0	0	0
ENSG00000223460.1_5	0	0	0	0	0	4	0	0	3
ENSG00000160949.17_5	129	41	68	120	44	142	85	7	129
ENSG00000196689.12_7	4	12	8	23	0	23	15	8	5
ENSG00000281732.1_7	0	0	0	0	0	0	0	0	0
ENSG00000235926.1_4	0	0	0	0	0	0	0	0	0
ENSG00000176532.4_4	0	0	0	0	0	8	0	0	0
ENSG00000206721.1	0	0	0	0	0	0	0	0	0
ENSG00000154269.15_5	3	0	0	17	0	0	0	0	0
ENSG00000211847.1_4	0	0	0	0	0	0	0	0	0
ENSG00000268804.1_6	0	0	0	0	0	0	0	0	0
ENSG00000264583.1	0	0	0	0	0	0	0	0	0
ENSG00000257037.1_5	0	8	0	0	0	0	0	0	0
ENSG00000285863.1_2	0	0	0	0	2	8	6	3	7
ENSG00000211482.1	0	0	4	0	0	0	1	3	0
ENSG00000232500.2_5	0	0	0	0	0	0	0	0	0
ENSG00000249175.1_6	0	0	0	0	0	0	0	0	0
